Somali_homograph,Meaning_Index,Somali_definition
beegan,1,Wax la beegay noqosho.
beegan,2,wax kale ku toosan noqosho.
beegan,3,Wax la beegay ahaansho.
beegan,4,Wax la buuxshay ahaansho.
beegan,5,"wax, wax kale lagu aaddiyey ahaansho."
beegan,6," waqti, waqti ku aadan ahaansho."
beekhaan,1,Badashada ay badato cunno la karinayo.
beekhaan,2,Wax yar oo lagu suubiyo wax la miisay.
beekhaan,3,Tashiilidda wax la tashiilo.
beekhaan,4,Cunto la karinayo sida bariis iwm. tarmid; wax badasho.
beel,1,Cid ama reero badan oo meel wada deggan; duddo; qeyro.
beel,2,"Koox dabeeci ahaan sabo ku wada uuman, oo isugu jira sinjiyo dhir iyo xayawaanba leh."
beel,3,Hanti ama wax kale oo hore loo lahaa tirmid; waayid.
beeqbaaq,1,Hanka qof qabo marka u cid hanti ka sugayo.
beeqbaaq,2,Hanti cid ka sugid.
beer,1,"Xubin uurkujirta ah lafdhabarleyda ka mid ah midabkeedu madow guduud ku dheehanyahay ah oo samaysa xammeetida, dhiiggana wixii sumeynaya ka ilaalisa."
beer,2,"Qaybta dhexe ee miraha, jilicsan, qolof ku dahaaran oo ueedku ka dhasho."
beer,3,"Dhul la falay oo dhir, miro, badar iwm lagu abuuri karo."
beer,4,dareen gaar ah ku abuurid .
beeran,1,Miro geedo iwm wax baxay noqosho.
beeran,2,"qof, dareen gaar ah ku abuurmid."
beeran,3,"Miro, geedo iwm wax dhul lagu beeray ahaansho."
beeryaro,1,"Xubin uurkujirta ka mid ah, beerka u eg kase yar oo dhiigga wax ka samaysa."
beeryaro,2,Cudur beeryarada ku dhaca; sunbay; weled.
beeryaro,3,"Xubin ay leeyihiin lafdhabarleydu, oo ku yaalla caloosha dabadeeda, kaas oo asal ahaan ka samaysan nudo limfo oo isu tegey. Shaqadeeda waxa ka mid ah soo saaridda limfosaytyada iyo baabi'inta walxaha qalaad. Waxay u"
belbel,1,Holac weyn oo dabka ka baxo marka la shido.
belbel,2,Meel jirka ka mid ah oo dhaawac ah xanfaafid.
beri,1,Waqti aan xaddidnayn ee la soo dhaafay; waa; jeer; seben.
beri,2,Dharaar iyo habeenkeeda.
beri,3,maanta.
beri,4,"Maalin bilaabasho, waagii baa bariyay."
bey,1,"Midab cad oo madow yari ku dheehanyahay oo ay yeeshaan lo'da, fardaha iyo riyaha."
bey,2,Nooc ka mid ah halaqyada waaweyn oo leh waabaayo halis ah.
bidhaan,1,Muqaal meel fog laga arko.
bidhaan,2,Tiro aad u yar oo ari ah oo gaar u daaqa.
bidhaan,3,Wax meel fog ka muuqasho.
bidhaan,4,Iftiin ama dhalaal yar meel ka birbirid.
biif,1,"Biyo yar oo lagu qooyo galley, meseggo iwm marka la tumayo ama la shiidayo."
biif,2,midab aad u cad; qurux.
biif,3,"Badar, digir iwm oo la tumayo ama la shiiday biyo yar ku qoyn."
biiq,1,Dhasha sagaarada.
biiq,2,Cabsi dareemid.
biir,1,Nooc khamriga ka mid ah oo aan alkolo badan lahayn.
biir,2,Neef sun ah oo ur gaar ah leh oo ceelasha aan muddo laga cabin marmar yeeshaan.
biir,3,Wax aad u khamiiray.
biir,4,Caano aad u dhanaan.
biir,5,Wax intay ahaayeen ka badasho.
biir,6,wax tiradooda kordhin.
biir,7, cid ka mid noqosho.
biirqool,1,Hab gaar ah oo xarig loogu xiro qof ceel biir leh gelaya si haddii uu biiroodo dhaqsi loogu soo saaro.
biirqool,2,"Qof ceel biir leh gelaya si haddii uu biiroodo dhaqsi loogu soo baxsho, hab gaar ah xarig ugu xirxirid."
bikil,1,Inta weel qaado; mug.
bikil,2,Weel inta uu qaado shubid.
bikilan,1,Weel wax buuxsamay noqosho.
bikilan,2,Weel wax la bikilay ahaansho.
bil,1,Laba iyo tobanka qaybood ee sanadka middood oo ah sagaal iyo labaatan ama soddon beri.
bil,2,Marka dayaxu aanu dhammays ahayn.
bil,3,Calaamad qaab dayax billow ah u eg oo xoolaha lagu sunto.
bil,4,"Bisha cas: urur caalami ah, oo dalal islaanku maalgeliyaan oo u qeybsan daryeelka ama samafalka dadka oo ay astaan u tahay dayax billaw ah oo cas."
bil,5,Wax kor u qaadid iyadoo madaxa laga sara mariyo.
bil,6,"Wax, wax qurxoon ka dhigid."
bilbil,1,Firdhinta biyo iwm sida dhibcaha roobka meel loogu firdhiyo.
bilbil,2,Nin gabdhaha taataabta.
bilbil,3,Biyo iwm meel sida dhibcaha roobka ugu furdhin.
bilbil,4,Gabar taabasho.
bilbilo,1,Koor yar bir ka sameysan oo lo'da loo xiro; dawan.
bilbilo,2,Muuqaal qurux badan.
bilbilo,3,Meel biyo ku rusheysasho.
bilcan,1,Haweeney la guursaday.
bilcan,2,Bilcan ka dhigid; guursasho.
bilow,1,Tallaabada ugu horreysa hawl la fulinayo.
bilow,2,Waqti xaddidan qaybtiisa hore. 
bilow,3,Hawl la fulinayo tallaabadeeda hore guda gelid.
biqil,1,Abuur markaa soo baxay.
biqil,2,Abuur iwm soo bixid.
bir,1,"Macdanta dhulka laga qodo nooc ka mid ah, adag oo waxyaabo laga sameeyo oo danabka iyo kulkana si fiican udbiya."
bir,2,"isha: barta yar madow, oo wax lagu arko."
bir,3,bir ajuuraan.
bir,4,"Curiye kasta oo kiimikaad oo ah adke widhwidha, danabka iyo kulkana si fiican udbiya."
bir,5,Wax sida iftiin bilig dhihid.
biriiryow,1,biriiryaabid.
biriiryow,2,Baraarugid.
biriq,1,"Gantaal danab ah, xoog badan, wuxuu ku dhaco dila oo ka dhasha isku dhac daruuro marka roob da'ayo. wiriq."
biriq,2,Iftiin yar oo muuqday dhaqso u qarsoomid.
bishkil,1,Qori yar oo xalleefsan mayrax iwm oo dalool yar la agufeeyo.
bishkil,2,"Tigin ama qori yar oo wax hakarid, ku adkayn. "
biti,1,Nasiib; hoodo.
biti,2,Wax sida buda iwm oo aan culays badan lahayn dabayl raacin.
biyadhac,1,biyadhaceen. Qar sare oo biyaha qulqulaya ay ka daataan.
biyadhac,2,Xoolo meel biyo leh ka harqasho.
biyo,1,"Hoore aan lahayn midab, dhadhan iyo ur oo ka sameysan haydaroojiin iyo oksijiin oo lama huraan u ah nolosha."
biyo,2,"Hoor midablaawe ah oo ku barafooba 0C kuna uu biyooba 100C marka cadaadisku yahay ka atmosfeerka. auumiga biyuhu wuxuu ka koobanyahay molikuyullo HO ah madi ah. Biyuhu hoor ahaan, waa milaha ciriflaha ah ee ugu awood badan. Tan waxa ugu wacan sarraynta madoorsoomaheeda labdana"
biyoculus,1,Ceelasha la shubo meesha isha xigta.
biyoculus,2,"Diyuteeriyam ogsaydh: biyaha atamyadu haydarojiin ee ku jiray, 1H, ay beddeleen iskodka ka culus ee diyuuteeriyam, 2H, summaddiisuna tahay"
bocor,1,Burcadka caanaha geela ka soo baxa.
bocor,2,Meesha kuusan oo cunaha ragga ku taal.
bocor,3,Miro ay qaraha isku bahyihiin oo la cuno marka la kariyo.
bocor,4,Geedka digirta marka uusan weli aad u soo bixin ee madaxiisu fooraro.
bocor,5,Miro aroorro leh oo sida qaraha u weyn oo la cuno.
bocor,6,gabadh aad u qurxoon.
bog,1,Caloosha meesheeda sare.
bog,2,Baalka xaashida labadeeda dhinac midkood.
bog,3,Muruq ballaaran oo xalleef ah oo kala xira uurka iyo saabka nafleyda. Wuxuu kaalin weyn ka qaataa neefsashada: qaadashada tuurista hawada.
bog,4,Wax qabya ahaa dhammaysitirid.
bog,5,Hawl billaabid oo dhammaystirid.
bog,6,wax jeclaan: hadalkiisaan u boggay.
bogdoox,1,Wadiiqo toos ah oo ka leexaato waddo weyn.
bogdoox,2,Weeraridda cadow dhinac laga weeraro.
bogdoox,3,Qalliin lagu sameeyo haweenka dhali waayey iyadoo dhinac laga soo saarayo ilmaha.
bogdoox,4,Cadow iwm dhinac ka wareemid.
bogdoox,5,Haweeney si caadi
boob,1,Si sedbursi xoog iyo dhaqso leh oo hanti cid ka dhexeyso loo qaato.
boob,2,Si xoog iyo sharcidarro ah oo hanti iwm loo qaato.
boob,3,Baadariga ugu sarreeya Fatikaanka.
boob,6,Dedejin .
booc,1,Hunguri.
booc,2,Cune.
booc,3,"Geed caano leh caleemo balballaaran, laamo jiljilicsan iyo miro kuus kuusan oo buufsan leh."
booddo,1,"bootin. Si degdeg iyo xoog leh, inta cagaha meel loogu dhufto, oo laba melood laysaga hawakaco."
booddo,2,Cayayaan
booddo,3,"Xasharaad dhiigga dhuuqa oo aan baalal lahayn, lugose leh ay ku booddo. da waaweyn si aan joogto ahayn ayey waxay ku dul noolaadaan shimbiraha iyo naasleyda. Qaarka dadka cunana waxay qaadi karaan cudurro kala duwan."
boor,1,Ciid budo ah oo dabayshu si sahlan u qaaddo; siigo; bus.
boor,2,midab dambaska u eg oo ay lo'da iyo dameerahu yeeshaan.
boor,3,Sac godlan waayey ama dhashiisa diiday wamme ama fintir iwm sabiisha ka gelin.
boor,4,dhabarka godid.
boos,1,Qof gaboobay.
boos,2,Nin lug ama gacan la'.
boos,3,Meel qof deeqda.
boos,4,Haweenay lug ama gacan la'.
booyaan,1,Hadal badan oo aan duluc lahayn ku hadlid. 
booyaan,2,Haan weynoo laba lugood oo kuwa baabuurta ah leh oo
boqon,1,Xarig laga sameeyo seedda boqonta oo lagu xiro qaansada.
boqon,2,"Seedda, ciribta iyo muruqa kubka isu haysa."
boqon,3,"Xarriiq toosan oo isku xirta laba barood oo ku dul yaalla xood. Tusaale ahaan, xarriijinta isku xirta laba barood oo ku yaalla meeriska goobada waa ."
boqondhaw,1,Geed digir meseggo imw oo soo fufay.
boqondhaw,2,Boqongoyn .
boqondhaw,3,Dhir jirid ka jarid.
boqor,1,Nin madax u ah tol ama qaran oo xakunkiisu dhaxaltooyo yahay.
boqor,2,Qof boqornimo caleemo saarid.
bud,1,Ul lagu dagaallamo oo madaxa buuran; bur; garruun. bur1.
bud,2,Ciidda la tuuro qabriga dushiisa oo calaamad u ah.
bud,3,Iil.
bud,4,soo dheh: soo bixid .
budaddar,1,Adkaynta soor lagu adkeeyo budo.
budaddar,2,Soor bislaatay budo ku adkayn.
bug,1,dheh: cod lagu muujiyo qarax ama dhac.
bug,2,"Qof, wax bukaan ah ahaansho."
bukur,1,Haruubka dhiil ama aagaan yar.
bukur,2,Dhiil ama aagaan yar oo caanaha lagu shubto.
bul,1,"Miiqyo badan oo dun, mayrax iwm ah oo salka isaga xiran waxna lagu qurxiyo."
bul,2,Saynta ka laallaadda dabada nafleyda qaarkeed inteeda dambe.
bulaal,1,Nafley taran iyo barwaaqo helid.
bulaal,2,Wax tiradooda iyo tayadooda badasho.
bulbul,1,ku  cilmi aqoon aad u sarreysa loo yeesho.
bulbul,2,"Dhogor badan, dhaadheer, jilicsan oo ay nafleyda qaarkeed yeelato."
buldi,1,"Bir dhagax iwm oo xarig dheer ku xiranyahay oo lagabbiro qotada biyaha badda, webiga iwm."
buldi,2,"Biyo bad, webi iwm qotodooda cabbirid."
bulxan,1,Cod nafley badani isku darto oo farxad iyo qosol leh.
bulxan,2,Nafley badan cod farxad iyo qosol leh samayn.
buq,1,Meesha ay biyaha ka soo burqadaan.
buq,2,Ceel biyo badan leh.
buq,3,"Qulqul biyood joogto ama xilliyeed oo dhulka ka imaanaya, wuxuu samaysmaa marka biyaha roobku dhulka hoos alaan ilaa bar gaar ah, halkaasoo ay ku ururaan aakhiritaankana ay kor u soo burqadaan."
buq,4,"Loolalka dhexena waa xilliga jilaalka ku xiga, xiddigis ahaanna loo tixgeliyo inuu ku dhammaado kubbadbadhka woqooyi min caanomaallada isle'eg ee Guga ilaa hornaqa xagaaga ."
buq,5,"Biyo, neef, gaas iwm oo inta xoog oo baxa, daboolkii celinayay tuura ama jeexa; dillaacid; burqasho; qarxasho."
bur,1,"Budo cad oo rootiga, malawaxa iwm laga samaysto."
bur,2,Taag ciid.
bur,3,Cad yar .
bur,4,Hal geed oo caws ah oo bahalladda yaryar galaan.
bur,5,Weyso gadmid.
bur,6,Biyo aad u karkarid. 
buraambur,1,Ciyaar hees iyo reeme lagu tumo oo ay haween ciyaaraan.
buraambur,2,Buraambur tirin.
buraambur,3,Buraambur ciyaarid.
burbur,1,Cadad yaryar oo wax is haystay u kala jajabo.
burbur,2,Caano la lulay oo aan weli subag dhalin. 
burbur,3,"Wax is haystay, cadad yaryar u kala jebid. "
burbursan,1,caanaha lo'da ama ariga markay fariistaan.
burbursan,2,Wax la burburiyey ahaansho. burursan .
burciid,1,In yar oo carro ah oo is haysta.
burciid,2,Meel bannaan oo ciid jilicsan leh.
buro,1,"Hilib aan caadi ahayn, kuusan oo jirka naflayda meel ka mid ah ka soo baxa."
buro,2,Sed dheeraad ah oo cid la siiyo.
